cliente_truck,cliente_chess,codigo_distri,codigo_bees
11,60000,135958000,13595800060000
115,60001,135958000,13595800060001
148,60002,135958000,13595800060002
216,60003,135958000,13595800060003
226,60004,135958000,13595800060004
353,60005,135958000,13595800060005
361,60006,135958000,13595800060006
405,60007,135958000,13595800060007
417,60008,135958000,13595800060008
449,60009,135958000,13595800060009
525,60010,135958000,13595800060010
550,60011,135958000,13595800060011
600,60012,135958000,13595800060012
692,60013,135958000,13595800060013
781,60014,135958000,13595800060014
862,60015,135958000,13595800060015
891,60016,135958000,13595800060016
899,60017,135958000,13595800060017
1084,60018,135958000,13595800060018
1279,60019,135958000,13595800060019
1358,60020,135958000,13595800060020
1398,60021,135958000,13595800060021
1481,60022,135958000,13595800060022
1715,60023,135958000,13595800060023
1908,60024,135958000,13595800060024
1975,60025,135958000,13595800060025
1985,60026,135958000,13595800060026
1991,60027,135958000,13595800060027
2028,60028,135958000,13595800060028
2170,60029,135958000,13595800060029
2528,60030,135958000,13595800060030
2598,60031,135958000,13595800060031
2719,60032,135958000,13595800060032
3075,60033,135958000,13595800060033
3822,60034,135958000,13595800060034
3945,60035,135958000,13595800060035
4003,60036,135958000,13595800060036
4026,60037,135958000,13595800060037
4169,60038,135958000,13595800060038
4180,60039,135958000,13595800060039
4181,60040,135958000,13595800060040
4199,60041,135958000,13595800060041
4369,60042,135958000,13595800060042
5126,60043,135958000,13595800060043
5271,60044,135958000,13595800060044
5379,60045,135958000,13595800060045
5482,60046,135958000,13595800060046
5576,60047,135958000,13595800060047
5917,60048,135958000,13595800060048
5925,60049,135958000,13595800060049
5951,60050,135958000,13595800060050
6131,60051,135958000,13595800060051
6262,60052,135958000,13595800060052
6301,60053,135958000,13595800060053
6316,60054,135958000,13595800060054
6875,60055,135958000,13595800060055
7226,60056,135958000,13595800060056
7304,60057,135958000,13595800060057
7348,60058,135958000,13595800060058
7502,60059,135958000,13595800060059
7608,60060,135958000,13595800060060
7735,60061,135958000,13595800060061
7923,60062,135958000,13595800060062
8015,60063,135958000,13595800060063
8180,60064,135958000,13595800060064
8185,60065,135958000,13595800060065
8296,60066,135958000,13595800060066
8391,60067,135958000,13595800060067
8455,60068,135958000,13595800060068
8468,60069,135958000,13595800060069
8488,60070,135958000,13595800060070
8536,60071,135958000,13595800060071
8547,60072,135958000,13595800060072
9158,60073,135958000,13595800060073
9818,60074,135958000,13595800060074
9901,60075,135958000,13595800060075
9909,60076,135958000,13595800060076
10102,60077,135958000,13595800060077
10151,60078,135958000,13595800060078
10243,60079,135958000,13595800060079
10491,60080,135958000,13595800060080
10764,60081,135958000,13595800060081
10777,60082,135958000,13595800060082
10884,60083,135958000,13595800060083
10984,60084,135958000,13595800060084
10995,60085,135958000,13595800060085
11128,60086,135958000,13595800060086
11303,60087,135958000,13595800060087
11811,60088,135958000,13595800060088
11838,60089,135958000,13595800060089
11940,60090,135958000,13595800060090
12384,60091,135958000,13595800060091
12786,60092,135958000,13595800060092
12860,60093,135958000,13595800060093
12867,60094,135958000,13595800060094
13015,60095,135958000,13595800060095
13166,60096,135958000,13595800060096
13188,60097,135958000,13595800060097
14084,60098,135958000,13595800060098
14481,60099,135958000,13595800060099
14508,60100,135958000,13595800060100
14738,60101,135958000,13595800060101
14788,60102,135958000,13595800060102
15020,60103,135958000,13595800060103
15139,60104,135958000,13595800060104
15166,60105,135958000,13595800060105
15251,60106,135958000,13595800060106
15260,60107,135958000,13595800060107
15351,60108,135958000,13595800060108
15559,60109,135958000,13595800060109
15679,60110,135958000,13595800060110
15724,60111,135958000,13595800060111
15737,60112,135958000,13595800060112
15784,60113,135958000,13595800060113
15887,60114,135958000,13595800060114
16210,60115,135958000,13595800060115
16220,60116,135958000,13595800060116
16272,60117,135958000,13595800060117
16293,60118,135958000,13595800060118
16347,60119,135958000,13595800060119
16576,60120,135958000,13595800060120
16802,60121,135958000,13595800060121
16824,60122,135958000,13595800060122
16953,60123,135958000,13595800060123
17307,60124,135958000,13595800060124
17339,60125,135958000,13595800060125
17342,60126,135958000,13595800060126
17347,60127,135958000,13595800060127
17478,60128,135958000,13595800060128
17531,60129,135958000,13595800060129
17587,60130,135958000,13595800060130
17739,60131,135958000,13595800060131
17811,60132,135958000,13595800060132
18399,60133,135958000,13595800060133
18424,60134,135958000,13595800060134
18558,60135,135958000,13595800060135
18562,60136,135958000,13595800060136
18792,60137,135958000,13595800060137
19041,60138,135958000,13595800060138
19687,60139,135958000,13595800060139
20356,60140,135958000,13595800060140
20386,60141,135958000,13595800060141
20545,60142,135958000,13595800060142
45279,60143,135958000,13595800060143
47877,60144,135958000,13595800060144
49209,60145,135958000,13595800060145
56104,60146,135958000,13595800060146
57265,60147,135958000,13595800060147
58096,60148,135958000,13595800060148
58110,60149,135958000,13595800060149
59526,60150,135958000,13595800060150
60472,60151,135958000,13595800060151
60538,60152,135958000,13595800060152
