challenge_id,challenge_type_disag,challenge_type
1659119076091,CVZA M1,Cobertura
1659407457134,CVZA M1,Cobertura
1659407590000,CVZA M1,Cobertura
1659408003402,CVZA M1,Cobertura
1659408292041,CVZA M1,Cobertura
1659539392730,CVZA M1,Cobertura
1659700927529,CVZA M1,Cobertura
1659107497388,CVZA M1,Cobertura
1659109337511,CVZA M1,Cobertura
1659114359813,CVZA M1,Cobertura
1659101779730,CVZA M1,Cobertura
1659106671435,CVZA M1,Cobertura
1659106050109,CVZA M1,Cobertura
1659108230949,CVZA M1,Cobertura
1659115811260,CVZA M1,Cobertura
1659106411788,CVZA M1,Cobertura
1659106963422,NABS,Cobertura
1659108840418,NABS,Cobertura
1659540357230,NABS,Cobertura
1659102764481,NABS,Cobertura
1659112519175,NABS,Cobertura
1659159760491,NABS,Cobertura
1659101445710,NABS,Cobertura
1659115863165,NABS,Cobertura
1659108485175,NABS,Cobertura
1659117812241,NABS,Cobertura
1659110213628,NABS,Cobertura
1659110614011,NABS,Cobertura
1659107808357,NABS,Cobertura
1659119478677,NABS,Cobertura
1659558155117,NABS,Cobertura
1659124904589,NABS,Cobertura
1659115103868,NABS,Cobertura
1659120543179,NABS,Cobertura
1659120878943,NABS,Cobertura
1659122673497,ABOVE CORE,Cobertura
1659127628932,ABOVE CORE,Cobertura
1659124277745,ABOVE CORE,Cobertura
1659126290889,ABOVE CORE,Cobertura
1659474596507,ABOVE CORE,Cobertura
1659127156982,ABOVE CORE,Cobertura
1659124710449,ABOVE CORE,Cobertura
1659128225546,ABOVE CORE,Cobertura
1659130151196,ABOVE CORE,Cobertura
1659121415406,ABOVE CORE,Cobertura
1659120966273,ABOVE CORE,Cobertura
1659474314045,ABOVE CORE,Cobertura
1659535215584,ABOVE CORE,Cobertura
1659119876427,ABOVE CORE,Cobertura
1659536688788,ABOVE CORE,Cobertura
1659120544990,ABOVE CORE,Cobertura
1659410354097,ABOVE CORE,Cobertura
1659121875857,ABOVE CORE,Cobertura
1659536272711,ABOVE CORE,Cobertura
1659559898888,ABOVE CORE,Cobertura
1659559742628,ABOVE CORE,Cobertura
1659463322879,AD HOC,Cobertura
1659128792792,AD HOC,Cobertura
1659126308940,AD HOC,Cobertura
1659126690433,AD HOC,Cobertura
1659470734024,AD HOC,Cobertura
1659129840083,AD HOC,Cobertura
1659470469968,AD HOC,Cobertura
1659470226207,AD HOC,Cobertura
1659127019853,AD HOC,Cobertura
1659552823221,AD HOC,Cobertura
1659473112049,AD HOC,Cobertura
1659473246003,AD HOC,Cobertura
1659127880096,AD HOC,Cobertura
1659467948925,AD HOC,Cobertura
1659469407582,AD HOC,Cobertura
1659469174319,AD HOC,Cobertura
1659469941413,AD HOC,Cobertura
1659122382625,MUNDIAL,Cobertura
1659467361034,MKT PLACE,Cobertura
1659032845094,CVZA M1,Cobertura
1659033309189,CVZA M1,Cobertura
1659033981048,CVZA M1,Cobertura
1659034564492,CVZA M1,Cobertura
1659034912736,CVZA M1,Cobertura
1659035197677,CVZA M1,Cobertura
1659029231335,CVZA M1,Cobertura
