account_alias,bygroup,comprador_mkt,pseudo_sku,pseudo_sku_desc,flag_mkt,flag_compra,prediction,latest_purchase,count_trx,suma_bultos,rank,role,subchannel_cluster2,subregion
431184,Mayoristas,1,26660,MATE PLAYADITO,1,0,0.30223918,-1,0,0,1,T,Mayoristas,MinoristaNeuquen
431184,Mayoristas,1,26650,MATE TARAGUI,1,0,0.12980507,-1,0,0,2,T,Mayoristas,MinoristaNeuquen
431184,Mayoristas,1,76385,VINOS OTRO LOCO MAS,1,0,0.090672545,-1,0,0,3,T,Mayoristas,MinoristaNeuquen
431184,Mayoristas,1,26661,MATE CBSE,1,0,0.06431532,-1,0,0,4,V,Mayoristas,MinoristaNeuquen
431184,Mayoristas,1,28392,VINOS MANDAMAS,1,0,0.061999835,-1,0,0,5,V,Mayoristas,MinoristaNeuquen
666863,Mayoristas,1,26660,MATE PLAYADITO,1,0,0.23572564,-1,0,0,1,T,Mayoristas,MinoristaNeuquen
666863,Mayoristas,1,26650,MATE TARAGUI,1,0,0.14346191,-1,0,0,2,V,Mayoristas,MinoristaNeuquen
666863,Mayoristas,1,77897,VASOS QUILMES MARKETPLACE,1,0,0.111029476,-1,0,0,3,T,Mayoristas,MinoristaNeuquen
666863,Mayoristas,1,28392,VINOS MANDAMAS,1,0,0.07089665,-1,0,0,4,T,Mayoristas,MinoristaNeuquen
666863,Mayoristas,1,26661,MATE CBSE,1,0,0.055241488,-1,0,0,5,T,Mayoristas,MinoristaNeuquen
81097,KT_MinoristaNeuquen,1,26660,MATE PLAYADITO,1,0,0.20495117,-1,0,0,1,T,KT_MinoristaNeuquen,MinoristaNeuquen
81097,KT_MinoristaNeuquen,1,78211,ARROZ MARIA,1,0,0.1272002,-1,0,0,2,V,KT_MinoristaNeuquen,MinoristaNeuquen
81097,KT_MinoristaNeuquen,1,76385,VINOS OTRO LOCO MAS,1,0,0.07900092,-1,0,0,3,T,KT_MinoristaNeuquen,MinoristaNeuquen
81097,KT_MinoristaNeuquen,1,77706,ARROCITAS ARROCITAS,1,0,0.0756278,-1,0,0,4,T,KT_MinoristaNeuquen,MinoristaNeuquen
81097,KT_MinoristaNeuquen,1,77820,VASOS ANDES MARKETPLACE,1,0,0.06100227,-1,0,0,5,T,KT_MinoristaNeuquen,MinoristaNeuquen
81554,KT_MinoristaNeuquen,1,26660,MATE PLAYADITO,1,0,0.57994056,-1,0,0,1,V,KT_MinoristaNeuquen,MinoristaNeuquen
81554,KT_MinoristaNeuquen,1,26651,MATE MAÑANITA,1,0,0.2717052,-1,0,0,2,T,KT_MinoristaNeuquen,MinoristaNeuquen
81554,KT_MinoristaNeuquen,1,28738,JUGOS PURA FRUTTA,1,0,0.27163684,-1,0,0,3,V,KT_MinoristaNeuquen,MinoristaNeuquen
81554,KT_MinoristaNeuquen,1,77844,TE TARAGUI,1,0,0.21338177,-1,0,0,4,T,KT_MinoristaNeuquen,MinoristaNeuquen
81554,KT_MinoristaNeuquen,1,28251,PAPAS FRITAS PRINGLES,1,0,0.20465285,-1,0,0,5,T,KT_MinoristaNeuquen,MinoristaNeuquen
81563,KT_MinoristaNeuquen,1,26660,MATE PLAYADITO,1,0,0.26538134,-1,0,0,1,T,KT_MinoristaNeuquen,MinoristaNeuquen
81563,KT_MinoristaNeuquen,1,28738,JUGOS PURA FRUTTA,1,0,0.12871501,-1,0,0,2,V,KT_MinoristaNeuquen,MinoristaNeuquen
81563,KT_MinoristaNeuquen,1,28251,PAPAS FRITAS PRINGLES,1,0,0.10339179,-1,0,0,3,V,KT_MinoristaNeuquen,MinoristaNeuquen
81563,KT_MinoristaNeuquen,1,26651,MATE MAÑANITA,1,0,0.08624577,-1,0,0,4,V,KT_MinoristaNeuquen,MinoristaNeuquen
81563,KT_MinoristaNeuquen,1,78219,BARRA ARROZ CROWIE,1,0,0.07588907,-1,0,0,5,T,KT_MinoristaNeuquen,MinoristaNeuquen
81741,KT_MinoristaNeuquen,1,26660,MATE PLAYADITO,1,0,0.3467098,-1,0,0,1,T,KT_MinoristaNeuquen,MinoristaNeuquen
