brand_family,pack,subcanal,unidades_bulto
1890,1 Lts-Bottle-RET,Autoservicio Cadena,12
1890,1 Lts-Bottle-RET,Autoservicio Independiente,12
1890,1 Lts-Bottle-RET,Kiosco Despensa,12
1890,1 Lts-Bottle-RET,Kiosco Bar,12
1890,1 Lts-Bottle-RET,Almacen Autoservice,12
1890,1 Lts-Bottle-RET,Almacen,12
1890,1 Lts-Bottle-RET,Kiosco/maxikiosco,12
1890,1 Lts-Bottle-RET,Tienda De Bebidas,12
1890,1 Lts-Bottle-RET,Carniceria/polleria,12
1890,1 Lts-Bottle-RET,Carniceria Premium,12
1890,1 Lts-Bottle-RET,Casa De Pastas,12
1890,1 Lts-Bottle-RET,Dietetica,12
1890,1 Lts-Bottle-RET,Farmacia,12
1890,1 Lts-Bottle-RET,Fiambreria/queseria,12
1890,1 Lts-Bottle-RET,Otros K+t,12
1890,1 Lts-Bottle-RET,Panaderia / Pasteleria,12
1890,1 Lts-Bottle-RET,Pescaderia,12
1890,1 Lts-Bottle-RET,Rotiseria/com P Llevar,12
1890,1 Lts-Bottle-RET,Verduleria,12
1890,1 Lts-Bottle-RET,Vinoteca,12
1890,1/2 Lts-Cans,Kiosco Despensa,6
1890,1/2 Lts-Cans,Kiosco Bar,6
1890,1/2 Lts-Cans,Almacen Autoservice,6
1890,1/2 Lts-Cans,Almacen,6
1890,1/2 Lts-Cans,Kiosco/maxikiosco,6
1890,1/2 Lts-Cans,Tienda De Bebidas,6
1890,1/2 Lts-Cans,Carniceria/polleria,6
1890,1/2 Lts-Cans,Carniceria Premium,6
1890,1/2 Lts-Cans,Casa De Pastas,6
1890,1/2 Lts-Cans,Dietetica,6
1890,1/2 Lts-Cans,Farmacia,6
1890,1/2 Lts-Cans,Fiambreria/queseria,6
1890,1/2 Lts-Cans,Otros K+t,6
1890,1/2 Lts-Cans,Panaderia / Pasteleria,6
1890,1/2 Lts-Cans,Pescaderia,6
1890,1/2 Lts-Cans,Rotiseria/com P Llevar,6
1890,1/2 Lts-Cans,Verduleria,6
1890,1/2 Lts-Cans,Vinoteca,6
1890,1/2 Lts-Cans,Autoservicio Cadena,24
1890,1/2 Lts-Cans,Autoservicio Independiente,24
27 Eazy,1/2 Lts-Cans,Kiosco Despensa,6
27 Eazy,1/2 Lts-Cans,Kiosco Bar,6
27 Eazy,1/2 Lts-Cans,Almacen Autoservice,6
27 Eazy,1/2 Lts-Cans,Almacen,6
27 Eazy,1/2 Lts-Cans,Kiosco/maxikiosco,6
27 Eazy,1/2 Lts-Cans,Tienda De Bebidas,6
27 Eazy,1/2 Lts-Cans,Carniceria/polleria,6
27 Eazy,1/2 Lts-Cans,Carniceria Premium,6
27 Eazy,1/2 Lts-Cans,Casa De Pastas,6
27 Eazy,1/2 Lts-Cans,Dietetica,6
27 Eazy,1/2 Lts-Cans,Farmacia,6
27 Eazy,1/2 Lts-Cans,Fiambreria/queseria,6
27 Eazy,1/2 Lts-Cans,Otros K+t,6
27 Eazy,1/2 Lts-Cans,Panaderia / Pasteleria,6
27 Eazy,1/2 Lts-Cans,Pescaderia,6
27 Eazy,1/2 Lts-Cans,Rotiseria/com P Llevar,6
27 Eazy,1/2 Lts-Cans,Verduleria,6
27 Eazy,1/2 Lts-Cans,Vinoteca,6
27 Eazy,1/2 Lts-Cans,Autoservicio Cadena,24
27 Eazy,1/2 Lts-Cans,Autoservicio Independiente,24
27 Lager,1/2 Lts-Cans,Autoservicio Cadena,24
27 Lager,1/2 Lts-Cans,Autoservicio Independiente,24
27 Lager,1/2 Lts-Cans,Kiosco Despensa,24
27 Lager,1/2 Lts-Cans,Kiosco Bar,24
27 Lager,1/2 Lts-Cans,Almacen Autoservice,24
27 Lager,1/2 Lts-Cans,Almacen,24
27 Lager,1/2 Lts-Cans,Kiosco/maxikiosco,24
27 Lager,1/2 Lts-Cans,Tienda De Bebidas,24
27 Lager,1/2 Lts-Cans,Carniceria/polleria,24
27 Lager,1/2 Lts-Cans,Carniceria Premium,24
27 Lager,1/2 Lts-Cans,Casa De Pastas,24
27 Lager,1/2 Lts-Cans,Dietetica,24
27 Lager,1/2 Lts-Cans,Farmacia,24
27 Lager,1/2 Lts-Cans,Fiambreria/queseria,24
27 Lager,1/2 Lts-Cans,Otros K+t,24
27 Lager,1/2 Lts-Cans,Panaderia / Pasteleria,24
27 Lager,1/2 Lts-Cans,Pescaderia,24
27 Lager,1/2 Lts-Cans,Rotiseria/com P Llevar,24
27 Lager,1/2 Lts-Cans,Verduleria,24
27 Lager,1/2 Lts-Cans,Vinoteca,24
Andes,1 Lts-Bottle-RET,Autoservicio Cadena,12
Andes,1 Lts-Bottle-RET,Autoservicio Independiente,12
Andes,1 Lts-Bottle-RET,Kiosco Despensa,12
Andes,1 Lts-Bottle-RET,Kiosco Bar,12
Andes,1 Lts-Bottle-RET,Almacen Autoservice,12
Andes,1 Lts-Bottle-RET,Almacen,12
Andes,1 Lts-Bottle-RET,Kiosco/maxikiosco,12
Andes,1 Lts-Bottle-RET,Tienda De Bebidas,12
Andes,1 Lts-Bottle-RET,Carniceria/polleria,12
Andes,1 Lts-Bottle-RET,Carniceria Premium,12
Andes,1 Lts-Bottle-RET,Casa De Pastas,12
Andes,1 Lts-Bottle-RET,Dietetica,12
Andes,1 Lts-Bottle-RET,Farmacia,12
Andes,1 Lts-Bottle-RET,Fiambreria/queseria,12
Andes,1 Lts-Bottle-RET,Otros K+t,12
Andes,1 Lts-Bottle-RET,Panaderia / Pasteleria,12
Andes,1 Lts-Bottle-RET,Pescaderia,12
Andes,1 Lts-Bottle-RET,Rotiseria/com P Llevar,12
Andes,1 Lts-Bottle-RET,Verduleria,12
Andes,1 Lts-Bottle-RET,Vinoteca,12
Andes,1/2 Lts-Cans,Autoservicio Cadena,24
Andes,1/2 Lts-Cans,Autoservicio Independiente,24
Andes,1/2 Lts-Cans,Kiosco Despensa,24
Andes,1/2 Lts-Cans,Kiosco Bar,24
Andes,1/2 Lts-Cans,Almacen Autoservice,24
Andes,1/2 Lts-Cans,Almacen,24
Andes,1/2 Lts-Cans,Kiosco/maxikiosco,24
Andes,1/2 Lts-Cans,Tienda De Bebidas,24
Andes,1/2 Lts-Cans,Carniceria/polleria,24
Andes,1/2 Lts-Cans,Carniceria Premium,24
Andes,1/2 Lts-Cans,Casa De Pastas,24
Andes,1/2 Lts-Cans,Dietetica,24
Andes,1/2 Lts-Cans,Farmacia,24
Andes,1/2 Lts-Cans,Fiambreria/queseria,24
Andes,1/2 Lts-Cans,Otros K+t,24
Andes,1/2 Lts-Cans,Panaderia / Pasteleria,24
Andes,1/2 Lts-Cans,Pescaderia,24
Andes,1/2 Lts-Cans,Rotiseria/com P Llevar,24
Andes,1/2 Lts-Cans,Verduleria,24
Andes,1/2 Lts-Cans,Vinoteca,24
Andes Origen,1 Lts-Bottle-RET,Autoservicio Cadena,12
Andes Origen,1 Lts-Bottle-RET,Autoservicio Independiente,12
Andes Origen,1 Lts-Bottle-RET,Kiosco Despensa,12
Andes Origen,1 Lts-Bottle-RET,Kiosco Bar,12
Andes Origen,1 Lts-Bottle-RET,Almacen Autoservice,12
Andes Origen,1 Lts-Bottle-RET,Almacen,12
Andes Origen,1 Lts-Bottle-RET,Kiosco/maxikiosco,12
Andes Origen,1 Lts-Bottle-RET,Tienda De Bebidas,12
Andes Origen,1 Lts-Bottle-RET,Carniceria/polleria,12
Andes Origen,1 Lts-Bottle-RET,Carniceria Premium,12
Andes Origen,1 Lts-Bottle-RET,Casa De Pastas,12
Andes Origen,1 Lts-Bottle-RET,Dietetica,12
Andes Origen,1 Lts-Bottle-RET,Farmacia,12
Andes Origen,1 Lts-Bottle-RET,Fiambreria/queseria,12
Andes Origen,1 Lts-Bottle-RET,Otros K+t,12
Andes Origen,1 Lts-Bottle-RET,Panaderia / Pasteleria,12
Andes Origen,1 Lts-Bottle-RET,Pescaderia,12
Andes Origen,1 Lts-Bottle-RET,Rotiseria/com P Llevar,12
Andes Origen,1 Lts-Bottle-RET,Verduleria,12
Andes Origen,1 Lts-Bottle-RET,Vinoteca,12
Andes Origen,1/2 Lts-Cans,Kiosco Despensa,6
Andes Origen,1/2 Lts-Cans,Kiosco Bar,6
Andes Origen,1/2 Lts-Cans,Almacen Autoservice,6
Andes Origen,1/2 Lts-Cans,Almacen,6
Andes Origen,1/2 Lts-Cans,Kiosco/maxikiosco,6
Andes Origen,1/2 Lts-Cans,Tienda De Bebidas,6
Andes Origen,1/2 Lts-Cans,Carniceria/polleria,6
Andes Origen,1/2 Lts-Cans,Carniceria Premium,6
Andes Origen,1/2 Lts-Cans,Casa De Pastas,6
Andes Origen,1/2 Lts-Cans,Dietetica,6
Andes Origen,1/2 Lts-Cans,Farmacia,6
Andes Origen,1/2 Lts-Cans,Fiambreria/queseria,6
Andes Origen,1/2 Lts-Cans,Otros K+t,6
Andes Origen,1/2 Lts-Cans,Panaderia / Pasteleria,6
